var-1,var-2,var-3,var-4,var-5,Common,English Translated
parwar,,,,,parwar,Upbringing
Sawaro,sanwaro,,,,Sawaro,Embellish
lambay,lambey,Lambayi,lamby,lumbay,lambay,Long
tarjumaani,tarjumani,,,,tarjumani,Translation
Ahsan,,,,,Ahsan,Kindness
ghuzare,guzarao,guzare,guzari,,guzare,Spent
kisan,kisaan,,,,kisaan,Farmer
rusva,ruswa,,,,ruswa,Disgraced
shikayatein,shikayaten,,,,shikayatein,Complaints
gadha,gedha,,,,gadha,Donkey
khadim,khadm,,,,khadim,Servant
mashwaray,mashware,mushwary,mshwary,,mashwaray,Advice
jawaz,jawaaz,jwaz,,,jawaz,Permission
pehnay,pehney,pehnnay,pehnney,,pehnay,Wore
shoqeen,shokeen,shoukeen,shouqeen,shoken,shoqeen,Enthusiast
araam,aram,aaraam,aaram,arm,aram,Comfort
Feroz,,,,,Feroz,Successful
khushian,khushiyan,khoshyan,,,khushiyan,Happiness
aapus,apus,apas,aapas,,apus,Amongst
fot,fout,,,,fout,Fault
kaise,kaisee,kaisi,kase,kasi,kaise,How
Esa,isa,,,,Esa,Like this
baalon,balon,baloon,baloun,,balon,Hair
leetay,letay,lety,,,letay,Bring
saman,samn,,,,saman,Goods
paae,pae,paai,pai,,pae,Found
khael,khail,khaial,kheel,khel,khail,Play
pagal,Pagall,paghal,pghal,pgl,pagal,Crazy
mangwana,mangawna,mangawana,,,mangwana,To get something done
karaein,karaey,karain,krein,kerien,karaein,Let's do
Jhagra,jhagraa,,,,Jhagra,Fight
halanke,halankey,hanlanky,,,halanke,Although
banwany,Banwanay,banwaney,,,banwany,Making
chithi,chithii,chitthi,,,chithi,Letter
Khulenge,khulangi,khulengi,,,Khulenge,Will open
dekhiye,dekhie,dekhiey,,,dekhiey,See
tabdeeli,tabdeli,Tabdili,tabdeele,,tabdeeli,Change
zang,zung,zng,,,zang,Dirt
almnak,alamnaak,,,,almnak,Fatal
aadhe,aadhi,adhe,adhi,,aadhi,Half
salaami,salami,salamiii,sallami,salame,salami,Greeting
alehdgi,alhadigi,,,,alhadigi,Allegation
saamna,saamina,,,,saamina,Listened to
tarashi,taraashi,,,,tarashi,Polishing
Ziadti,zyadati,ziyadati,zyadate,zydty,zyadati,Excess
Saholatkar,saholatkaar,sahulatkar,,,Saholatkar,Convenient
parhany,prhane,,,,parhany,Reading
Suntay,sunty,,,,Suntay,Listening
niklo,nklo,,,,niklo,Go out
aarzoo,arzo,arzu,aurzo,,arzu,Desire
Jurmana,jurmaana,,,,Jurmana,Fine
aaga,aagah,agah,,,agah,Informed
darakht,durakht,drakht,derakht,,darakht,Tree
baandhay,bandhay,,,,bandhay,Tied
karlo,karlu,krlo,,,karlo,Do
Shaks,Shaqs,shkhas,shkhs,shakis,Shaks,Person
namodar,namoodar,namudar,,,namodar,Prominent
thehri,thahri,thahre,,,thehri,Stopped
Peshab,,,,,Peshab,Urine
dewarein,dewaren,devarain,dewarain,,dewarain,Walls
sanwar,sanwer,Sanwal,,,sanwar,Decorate
jhagrty,jhagratay,jhagarty,,,jhagratay,Quarrelsome
chadar,chaader,chaadar,chader,,chadar,Sheet
soe,,,,,soe,Sleep
peshani,,,,,peshani,Forehead
gerat,gairat,gerait,ghairat,gherat,gairat,Honor
rasam,,,,,rasam,Custom
dakhil,daakhil,dakhill,,,dakhil,Entry
pataya,putaya,,,,pataya,Engaged
nechy,nichay,neechy,nechay,nichy,nechy,Below
aasakte,aasakti,asakti,,,asakti,Can
lagaonga,lagaoga,,,,lagaoga,Will apply
andhi,andhe,,,,andhi,Storm
yaqjehti,yakjahity,yakjehity,,,yaqjehti,Confidence
the,thee,thi,,,the,That
maqrooz,makrooz,maqroz,,,maqrooz,Indebted
garam,Garm,gram,,,garam,Hot
Samaa,sama,,,,Samaa,Sky
unke,unki,onke,,,unke,Their
Kaleen,kaalen,kalin,kalen,,Kaleen,Carpet
bachai,bachae,,,,bachai,Saved
teeno,Teenon,teno,tenon,,teeno,All three
bakhsha,bkhsha,bakhshaa,buksha,,bakhsha,Forgave
gamazan,ghamzan,ghumzan,ghemzin,,ghamzan,Patient
arkaan,arkan,irkaam,,,arkan,Pillars
qaida,,,,,qaida,Rule
wawela,wavila,wawila,,,wavila,Distress
nilami,nelami,neelami,,,nelami,Auction
lgwa,lagawa,lagwa,,,lagwa,Apply
Bansakta,bnsakta,banskta,bunsakta,,Bansakta,Can be
parhana,prhna,,,,parhana,To read
qadamat,kadimat,,,,qadamat,Progress
nanga,nnga,,,,nanga,Naked
iraade,iraday,iraady,,,iraday,Intentions
baazu,bazo,bazoo,bazu,,bazu,Arms
khuloos,khulos,khaloos,khalos,,khaloos,Sincerity
pechlaye,peechly,,,,pechlaye,Last
khatoot,khatot,khatut,khutot,khotot,khatut,Borders
galli,galee,ghali,gli,gali,ghali,Expensive
jagirdari,jageerdaari,jageerdare,jagerdari,jagirdare,jageerdaari,Feudalism
tabqon,tabqoon,tabkoon,,,tabqon,Groups
jamshaid,Jamshed,Jamsheed,jamshid,,Jamshed,A name
lutane,lotani,lotane,,,lotani,Flatter
larakpan,larukpan,,,,larakpan,Childhood
kharosh,kharush,khrosh,kharoxh,,kharosh,Noise
sajne,sajine,sajni,,,sajne,Decorating
Falaah,falah,fullah,fallah,,falah,Success
Garriyon,gariyoun,garion,,,Garriyon,Tractors
Jamiat,Jamiyat,jamyat,,,Jamiyat,Society
nikaal,,,,,nikaal,Take out
chot,chut,,,,chot,Injury
loot,Lott,,,,loot,Plunder
onho,unhon,unho,unhoon,unhoun,unhon,They
deay,diye,deaye,,,deay,Gave
phara,,,,,phara,Opened
khelna,khailna,khelnaa,kheelna,khelana,khailna,To play
gond,guid,goud,,,goud,Lap
isnay,isne,isny,esny,,isny,This
jeene,jeni,jeeni,,,jeene,To live
tele,teele,,,,tele,Basket
Farosho,farousho,,,,Farosho,Sellers
guzaarna,guzarna,ghuzarna,ghuzaarna,guzarina,guzarna,To pass
paidaish,paidais,peidaish,piadaish,pedaish,paidaish,Birth
ubharna,ubharina,obharina,,,ubharna,To rise
waris,Wars,waaris,,,waris,Heir
raho,Rahoo,,,,raho,Stay
umeedwaron,umedwaro,umeddwaro,,,umeedwaron,Candidates
sambhulity,,,,,sambhulity,Manage
Banainge,banaengy,bnaengy,,,banaengy,Will make
krrhy,karrahy,karahy,,,karahy,Ditches
khofnak,khofnaak,khufnak,,,khofnak,Terrifying
shakhas,Shakhs,,,,Shakhs,Person
pocho,pucho,puchoo,,,pocho,Ask
angraizi,Angreazi,angrezi,,,angraizi,English
ilmi,elimi,ilumi,ileme,ilme,elimi,Eliminate
dafan,dafun,dafen,dafn,,dafan,Buried
pehlo,pehlon,pehloo,pehloun,pehlu,pehlo,Aspect
poch,pooch,,,,poch,Ask
dakhta,dekhta,dekhtaa,dekhhta,,dhakta,Covered
Shawahid,shawahd,,,,Shawahid,Witnesses
jageerdaar,jageerdar,jagirdaar,jagerdar,jagirdar,jageerdar,Landlord
hngi,honge,hongi,,,hongi,Will be
Adal,,,,,Adal,Justice
parhaty,prhatay,,,,parhaty,Teach
peyron,payaron,,,,payaron,Feet
Jamato,jamaito,jamaeto,,,jamaito,Assemblies
bairoone,beroone,bairune,,,bairune,Outsider
fahesh,faahish,fahaaish,fahaish,,fahaish,Obscene
andhy,,,,,andhy,Blind
Islami,islaami,islame,islaame,,Islami,Islamic
bachiya,bachyan,bachyn,bachyaan,bachiyan,bachiya,Girls
taraff,taraf,tarf,traf,trf,taraf,Side
parhain,parhaen,perhain,,,parhain,Read
galat,galt,glat,ghalat,ghalt,galat,Wrong
kashmiri,kashmere,kashmeere,,,kashmiri,Kashmiri
khaton,khatoon,khatoun,khaaton,khattoun,khaton,Boxes
malom,maloom,,,,maloom,Known
kale,Kali,kaali,kaale,,Kali,Black
namone,namoni,namoone,namooni,,namone,Examples
jaan,jan,,,,jan,Life
Ahilkaro,ahalkaro,,,,Ahilkaro,O ignorant ones
aajati,ajati,ajate,,,ajate,Arrive
kutton,kuton,kuttoun,,,kutton,Dogs
farzandon,farzando,,,,farzandon,Sons
aadi,aadii,adi,addi,aaddi,addi,Slave
karaingay,karaingy,karengay,kreingy,Karengy,karaingay,Will do
anokhi,anokhe,,,,anokhi,Unique
shaki,shakee,shakki,,,shaki,Doubtful
lagegi,lagyge,,,,lagyge,Will be felt
Feesad,fesad,fisad,,,fesad,Corruption
kiran,,,,,kiran,Ray
aasar,asaar,asar,assar,,asar,Effect
parasti,purasiti,,,,parasti,Idolatry
aezaazi,aezazi,,,,aizazat,Dignity
mangi,maange,mange,,,mangi,Asked
Gharelo,ghareloo,gharilo,grelo,,Gharelo,Domestic
adhy,aadhay,adhay,,,adhay,Half
feerina,ferinaa,,,,ferinaa,Frenzy
istaqbaliya,istaqbaalya,istaqbalya,ishtaqbalya,istikbaalya,istaqbaliya,Futuristic
Ko,,,,,Ko,To
saholatein,saholaten,saholtein,sahooltain,sahooltein,saholatein,Support
jalane,jalaane,jalaani,jalani,,jalane,Burning
Rukawat,,,,,Rukawat,Obstacle
bahali,bahalii,bahaali,bahale,,bahali,Restoration
chupakar,chupakr,chupaker,chupaakar,chupaakr,chupakar,Secretly
chaashni,chashni,chaashnii,chashnni,chashnii,chashni,Syrup
parashani,Pareshani,,,,Pareshani,Trouble
Samjho,samjhon,smjo,samjo,smjho,Samjho,Understand
tahareek,tahreek,tahrek,tahryk,taharek,tahareek,Movement
dhang,dhung,dheng,,,dhang,Manner
fazal,Fazl,,,,fazal,Grace
karkerdagi,karkadgi,karkardagi,karkardegi,karkardgi,karkerdagi,Efficiency
wapas,wapes,wapis,waps,wps,wapas,Back
raqabat,raqabut,,,,raqabat,Competition
harne,harni,haarni,haarne,,harni,Hesitation
Takallum,,,,,Takallum,Speech
Husan,husin,husen,husn,husun,husin,Beauty
Jamali,jamaali,,,,Jamali,Beautiful
Sahab,sahb,sahib,saib,shb,Sahab,Sir
philai,,,,,philai,Spread
veeraan,veran,veraan,,,veran,Deserted
tohmat,tohmet,tohmt,,,tohmat,Accusation
yaha,yahan,yahn,yehan,yha,yahan,Here
Irshad,irshaad,,,,irshaad,Command
Leelame,leelami,lelami,lelame,,leelami,Advertisement
adalat,adalt,aadalat,,,adalat,Court
Kaar,kar,kr,krr,,kar,Do
sawaar,siwaar,,,,sawaar,Rider
ghazalein,ghazalen,gazlain,gazalain,,ghazalen,Gazelles
tehqeeqi,tahkeeke,tahqeeqe,tahkeke,,tehqeeqi,Research
Gaib,gayeb,gaeb,Gayab,ghayab,Gaib,Unseen
berozgari,berozgare,byrozgare,beyrozgari,byrozgari,berozgari,Unemployment
sarmaya,,,,,sarmaya,Investment
asli,asle,,,,asli,Real
Ghaplon,ghaploun,,,,ghaploun,Misunderstandings
Firdos,firdus,,,,Firdos,Paradise
jhapat,jhaput,,,,jhapat,Snatch
daastan,dastan,dastaan,,,dastan,Story
darya,dariya,dareya,daria,dareaa,darya,River
tarny,taarinay,,,,tarny,To fry
marwa,murwa,,,,marwa,To obtain
ziyadatiyon,ziyadaton,zydaton,,,ziyadatiyon,Excesses
lambo,lumbo,lamboo,,,lambo,Tall
nashistein,nashistain,nushistain,,,nashistein,Seats
saakhti,sakhiti,sakhti,saakhiti,sakhte,saakhti,Severity
dharakti,dherkti,dharkti,dharaktii,,dharakti,Beating
Maslak,muslak,maslik,,,Maslak,Creed
Shosha,,,,,Shosha,Disturbance
taker,takheer,takhir,takher,,takheer,Delay
iqraar,iqrar,ekraar,,,iqraar,Admission
kahndan,khandaan,khandan,khandn,,kahndan,Chains
asaniyan,asanya,,,,asanya,Easy
khobi,khoobi,khoobe,khobe,khubi,khobi,Quality
nikalte,nikaltee,nikalti,niklti,,nikalte,Emerge
khahish,khowaish,khawaish,khawahish,khuwahish,khahish,Desire
jurwana,jurwaana,,,,jurwana,To impress
qatel,,katil,,,Qatil,Murderer
falahi,falahe,fallahi,fallahe,,falahi,Agricultural
khushk,Khusk,,,,khushk,Dry
chilar,chiler,chillar,chiller,,chiler,Chill
zabardasti,Zaberdasti,zaberdusti,zabrdusti,zaberdsti,zabardasti,Force
sarah,saarah,,,,sarah,Broad
peta,peeta,,,,peta,Stomach
ghasht,ghust,,,,ghasht,Wandering
heldi,haldi,halde,,,haldi,Turmeric
log,loag,loog,loug,,log,People
Pervaz,perwaz,parwaz,,,parwaz,Flight
jaari,jari,jare,jaare,Jarri,jari,Ongoing
dabane,dabany,dabanay,dabaney,dbany,dabanay,To press
farmaty,farmatey,,,,farmaty,Orders
sharmeele,sharmeeli,sharmile,sharmili,,sharmeele,Shy
koshash,Koshish,,,,Koshish,Effort
makanat,makkanat,makaanat,,,makanat,Position
pagalon,pglon,paghalon,pghalon,,pagalon,Crazy
perdhsnon,pardeson,,,,pardeson,Foreigners
Tahzeb,tahzeeb,,,,Tahzeb,Culture
saalon,saalun,saloon,salun,,saalon,Years
lamhon,lamho,lumhon,,,lamho,Moments
horaha,horha,,,,horaha,Happening
ohday,ohdy,uhday,uhde,,uhday,Responsibilities
badly,badlye,badley,,,badly,Incorrectly
roya,,,,,roya,Cried
jaisa,jesa,jysa,jaysa,jsa,jaisa,Like
raha,rahaa,rha,,,raha,Stayed
hota,hotaa,hotha,hoota,huta,hota,Happens
darogir,darogeer,daroger,,,darogir,Accomplice
Parosi,,,,,Parosi,Neighbor
ar,aar,,,,aar,Conflict
uthta,,,,,uthta,Rises
sake,saki,ski,,,saki,Server (wine)
zoor,zor,zorr,,,zor,Force
likein,liken,likhein,likhen,likhin,liken,But
gabro,gabru,gabroo,,,gabru,Young man
ittefaqi,ittafaqi,itafaaqi,Ittefaqe,itafaqi,ittafaqi,Coincidental
zindah,znda,zinda,Zindaa,,zindah,Alive
kareem,Karem,Karim,kreem,,kareem,Generous
haami,hami,haame,hanmi,hamii,haami,Supporter
akhtayar,ikhyayar,,,,ikhyayar,Choice
Hasrat,hasret,hasrit,,,Hasrat,Desire
sadarat,,,,,sadarat,Presidency
Andhera,Andhra,,,,Andhera,Darkness
dara,dera,daraa,dra,,dara,Fear
palay,pullay,,,,palay,Flour
takmeel,takmil,takmel,,,takmeel,Completion
rasmi,rusmi,,,,rasmi,Official
Zeenat,zanat,zeent,Zenat,Zinat,Zeenat,Beauty
khencha,khincha,,,,khencha,Pulled
Talashi,talaashi,,,,Talashi,Investigation
samjhaya,smjhaya,smjaya,,,samjhaya,Explained
Qissa,kissa,,,,Qissa,Story
tore,toree,toore,,,tore,Broken
Gir,girr,,,,gir,Fall
hojaogi,hojaoge,,,,hojaogi,Will become
hokar,hoker,hokr,hokir,,hokar,Being
intahaee,intahaii,intahaye,entehaye,,intahaii,Extreme
lottati,lotate,loutati,lottate,,lotate,Entice
Thook,thuk,,,,Thook,Spit
masrofiyat,masroofyat,masrufyat,,,masroofyat,Occupancy
pappii,pupi,papi,,,pupi,Puppies
dewanon,dewano,deewano,devano,devanon,dewano,Crazy ones
riwaj,riwaaj,,,,riwaj,Tradition
likhtay,likhtey,lkhitay,lkhty,,likhtay,Writing
marzi,marzii,,,,marzi,Will
safarti,sifarati,sifratii,,,sifarati,Conditional
ismay,isme,ismein,ismen,issme,ismay,In this
saliha,,,,,saliha,Good
soch,souch,sonch,,,soch,Thought
lekhne,lekhni,likhne,likhni,,likhni,Writing (feminine form)
farishta,fareshta,,,,farishta,Angel
aib,Aeb,,,,aib,Flaw
Gardaani,gurdaani,gardaane,gardani,gardane,gardan,Neck
maizban,maizbaan,mezban,mazban,,maizban,Host
haisiat,haisiyat,haisyat,hesiyat,hesiat,haisiyat,Status
rakahy,rakhay,rakhey,rkhy,,rakhay,Kept
Nandan,nadan,,,,Nandan,Delightful
Numaish,numaiysh,nemaish,nimaish,,Numaish,Display
toota,tota,tuta,tutaa,,toota,Broken
tahereer,tahrer,tahreer,tehreer,tahrir,tahereer,Composition
bakamaal,bakamal,bakmal,,,bakamal,Perfect
asatzah,assatiza,asatiza,,,asatzah,Emotional
namaziyon,nimaziyon,,,,namaziyon,Worshipers
wasail,wasaiyl,,,,wasail,Means
isharan,isharen,isharin,,,isharan,Signal
ulladein,oladain,olaadain,,,ulladein,Blame
raah,rah,rh,raahh,,raah,Path
thaka,thuka,,,,thaka,Tired
jisnay,jisny,jsny,jisney,,jisnay,Who
tornay,toornay,toorny,,,tornay,Breaking
istaqlaal,istaqlal,istiqlal,isteqlaal,istiqlaal,istaqlaal,Independence
taiyari,tayaari,tayari,tayare,tayyare,tayaari,Preparation
tasleem,taslem,taslim,,,tasleem,Acceptance
shumali,shumaali,,,,shumali,Northern
Pind,,,,,Pind,Village
jaante,jante,jaanti,janti,,janti,Knew
lagaraha,lagaaraha,,,,lagaraha,Seems
hoa,hua,huaa,,,hua,Happened
mabein,mabeen,mabain,,,mabein,Among
Lana,laana,,,,Lana,Bring
afwahen,,,,,afwahen,Rumors
badtar,badter,badtr,,,badtar,Inferior
harate,haarati,harati,,,harati,Grazing
namazi,nimazi,namaze,,,namazi,Prayerful
hijab,hijaab,hejaab,,,hijab,Veil
tarbiat,tarbiyat,terbiat,,,tarbiat,Upbringing
sadqay,sadqe,sadqy,sadky,sdky,sadqay,Charities
Chahatay,chahty,chahtay,chahtey,,chahty,Want
rashk,rashke,,,,rashk,Envy
aalamgeer,aalamgir,alamgir,alamgeer,,aalamgir,Worldly
itehadi,itehaade,itehade,itehaadi,,itehadi,Unity
jaega,jaiga,jayega,jayga,jeaga,jayega,Will go
rakhnay,rakhny,rakhinay,rakny,rkhnay,rakhnay,Keeping
tabah,tabbah,tabha,,,tabah,Ruined
sikka,,,,,sikka,Coin
tamaam,tamam,tmam,,,tamam,All
dauray,daurey,dorey,doray,,doray,Circles
aaftab,aftab,aftaab,,,aftab,Sun
dheela,dhela,dhelaa,dheelaa,,dhela,Loose
kauosar,Kausar,kosar,,,Kausar,Abundance
socha,soocha,soucha,soncha,,socha,Thought
utarta,,,,,utarta,Descends
qudrati,kudrati,,,,qudrati,Natural
lambi,lumbe,lambe,lumbi,lmbi,lambi,Long
garmiyon,garmiyoon,garmiyoun,gharmyon,,garmiyon,Summers
jbhi,jabhi,jabhe,jbhe,,jabhi,Whenever
Sahara,,,,,Sahara,Support
shirk,shirq,,,,shirk,Association
wazan,wazn,wazzan,,,wazan,Weight
peshediyon,paishediyon,peshideyon,,,peshediyon,Witnesses
loghon,logo,logon,logoon,logoun,logo,People
karonga,karoonga,karunga,kronga,krnga,karonga,Will do
sikhaey,sikheny,seekhnay,sekhnay,,sikhaey,Taught
safaid,Safed,safeed,sifad,Sapaid,safaid,White
Aftar,aftaar,aftr,,,Aftar,Iftar - Breaking the fast
jurmane,jurmaany,,,,jurmaany,Punishment
Islamic,islaamic,islamc,,,Islamic,Islamic
machaya,,,,,machaya,Created
konhy,konay,,,,konay,Corners
surathal,surathaal,sorathal,sorathaal,,surathal,Spectacle
numainday,numainde,numaiydegi,numandagi,,numainday,Representatives
wazeer,Wazir,wazer,,,wazeer,Minister
bahanon,bahanoon,bahanoun,,,bahanon,Sisters
sangini,sangeeni,snagene,,,sangini,Companion
siraj,siraaj,,,,siraj,Lamp
ghul,ghol,,,,ghul,Dawn
baki,bakki,baaki,bakii,baqi,baqi,Remaining
rehaishi,rihaishi,rehaishe,rihaishe,,rehaishi,Residential
niji,nijji,nije,,,niji,Personal
kiraydar,kiredar,keraydaar,keraidaar,keraidar,kiraydar,Tenant
naacho,nacho,,,,naacho,Dance
nawaqif,nawakif,,,,nawaqif,Unaware
nazaru,nazaro,,,,nazaro,Views
ujala,ojala,,,,ujala,Light
parwardegar,parwardigar,,,,parwardegar,Creator
tuhmat,tuhimat,,,,tuhmat,Accusation
hukamran,hukmaran,hukumran,hukmran,hukmraan,hukamran,Ruler
qomi,qoumi,quami,Qaumi,komi,Qaumi,National
fasadaat,fasadat,fassadat,fsadat,,fasadat,Corruption
karwaengi,karwaege,krwaengi,krwaenge,karwaenge,karwaege,Will do
aake,aaky,,,,aaky,Coming
chaljye,chaljaye,chuljae,chaljae,chaljay,chaljay,Gone
kafaron,kafaroun,,,,kafaron,Disbelievers
mareezz,mareez,marez,,,mareez,Patient
albata,albatta,,,,albatta,However
Tohfa,tofa,tofah,toffa,tofaa,Tohfa,Gift
chall,chaall,chaal,,,chaal,Trick
gala,galla,gallaa,gulla,gulaa,gala,Neck
tanbee,tanbeeh,,,,tanbeeh,Warning
aziat,aziyat,azziyat,,,aziyat,Torture
gawana,gawaana,gavana,gawanaa,,gawana,Lose
auhdon,uhidon,ohdon,,,uhidon,Promises
aabro,aabroo,aabrou,aabru,,aabru,Honor
dakaar,dakar,dakkaar,dkaar,,dakar,Burp
gila,gela,gilaa,gla,,gila,Complaint
harane,huraani,haraani,haraane,haranee,harane,Defeating
jaloos,jalos,juloos,julos,jalus,jaloos,Procession
sekhta,seekhta,sekhita,sekta,,sekhta,Burning
fitna,fitnaa,,,,fitna,Chaos
sochte,sochti,souchti,souchte,sonchti,sochte,Think
darsgahon,derasgaon,deresgahon,darasgahon,drasgahon,darsgahon,Institutions
khidmatgar,khidmatgaar,,,,khidmatgar,Servant
shuda,shudah,,,,shuda,Martyrs
roza,rozah,,,,roza,Fast
churai,churae,churaai,,,churae,Stolen
utara,otara,,,,utara,Removed
pakdo,pakaro,pakro,pkaro,pkro,pakro,Catch
lanaton,lanto,laanaton,lanatoun,laanatoun,lanaton,Curses
Ishtiaq,ishtiaque,,,,Ishtiaq,Desire
Majnun,majno,majnu,,,Majnun,Crazy
garz,garaz,gurz,ghurz,gharz,garaz,Intention
Insaniyat,insaaniyat,insaniyet,,,Insaniyat,Humanity
janam,janum,janm,,,janam,Birth
hakmiyat,haakmyat,hakmeat,,,hakmiyat,Authority
jaane,jaani,,,,jaani,Dear
gay,gayae,gaye,gayein,gayi,gay,Went
daadi,dadi,dadii,,,daadi,Beard
Longi,lungi,loungi,,,lungi,Lungi
taakay,taake,takay,taky,,takay,So that
jis,js,jiss,,,jis,Whose
phir,phr,,,,phir,Then
chae,chaae,chai,,,chai,Tea
topon,topoon,,,,topon,Cannons
gheebat,ghebat,geebat,gebat,,geebat,Backbiting
zabano,zabanon,zubaano,zobano,zubano,zabano,Languages
tujhay,Tujhy,Tujhe,tujy,tjhay,tujhay,You
Goth,,,,,Goth,Village
salahiyaton,salahyaton,salahyton,,,salahiyaton,Abilities
tehkik,tehqeeeq,tehqeeq,tehqiq,tahkeek,tehqeeq,Research
seekhi,sekhi,sekhe,,,seekhi,Learned
jin,jn,,,,jin,Jinn
jaal,,,,,jaal,Trap
Parbat,parbut,,,,Parbat,Mountain
adalaton,Adalto,adalton,,,Adalto,Courts
khudkashi,khudkushi,,,,khudkashi,Suicide
tasveeron,tasweeron,,,,tasveeron,Images
Riaayati,riyasti,reyaasati,riyasati,riyati,Riaayati,Governmental
Naat,nat,,,,Naat,Poetry
dabaty,dabatay,dabatey,dbaty,,dabatay,Animals
koli,kooli,,,,kooli,Coolie
utne,utni,,,,utne,So much
chulbuley,chulbuly,chullbuly,,,chulbuly,Cheerful
Idrees,idres,,,,Idrees,A name
insaani,insane,insani,ensani,,insaani,Human
nalaiq,naliak,nleak,,,nalaiq,Unworthy
jalan,jalann,jaln,,,jalan,Jealousy
aslaah,Aslah,islah,eslah,islaah,islaah,Reform
Nawab,nwab,,,,Nawab,Nobleman
Griftari,giraftari,Giriftari,griftare,giraftare,Griftari,Arrest
ameer,amer,,,,ameer,Rich
guroh,gurouh,,,,gurouh,Group
khlengy,khelaingay,khailaingay,,,khelaingay,Will play
aab,ab,abb,abh,ub,ab,Now
Haneef,Hanif,hanef,,,Haneef,A name
zade,Zadi,zaadi,zaade,,Zadi,agnree
karne,karni,Kerne,kerni,krni,karni,doing
sarhadi,sarhade,,,,sarhadi,border
kaee,kae,kayi,kaye,kayee,kae,many
saza,sazza,sazzaa,sza,,saza,punishment
aaye,Aayi,,,,aai,coming
sharat,,,,,sharat,condition
sog,Sogh,,,,Sogh,sadnes
taqqub,taqub,,,,taqub,retaliation
kaarnamain,kaarnamy,karnamay,karname,karnamy,karnamay,Achievements
tordein,toordain,,,,tordein,Break
saltanaton,sultanaton,saltanuton,,,saltanaton,Kingdoms
saaz,saz,,,,saaz,Instrument
heratnak,heratnaak,heretnak,haretnaak,heratnaq,heratnak,Astonishing
daali,dali,dalii,dale,,dali,Branch
harey,haaray,haray,haary,hary,harey,Lost
ghuzra,ghuzraa,guzra,guzraa,,guzra,Passed
sakein,saken,,,,sakein,Comforts
aba,aaba,,,,aba,Cloak or garment worn by men in some cultures
hariyon,haariyoun,,,,hariyon,Greenery
Hili,hille,hilli,,,Hili,Move
jainamaz,jaenamaz,jaynmaz,,,jainamaz,Prayer mat
zewar,zenwar,zenwer,,,zenwar,Animals
kharay,kharai,khary,khray,khry,kharay,Standing
kurta,kurtaa,,,,kurta,Tunic
tashreef,tashrif,tashref,,,tashreef,Respect
Gaffar,ghaffar,ghafar,,,ghaffar,Forgiving
rafta,rafita,,,,rafta,Departed
Laila,lailaa,,,,Laila,A female name
lava,lawa,laava,,,lava,Lava
rahem,reheem,Rahim,rhem,,reheem,Compassionate
Hojainge,hojayge,hojaingi,hojyenge,,hojayge,Will happen
rahsani,rehsani,raahsani,,,rahsani,Secret
khanzeer,khinzer,khinzeer,khenzer,khenzeer,khinzer,Pig
waat,waaat,,,,waat,Time
jangal,jangel,,,,jangal,Jungle
samandar,samander,samjhdar,samjdar,,samandar,Sea
qarebi,qareebi,Qaribi,kareebi,,kareebi,Near
takreeban,takriban,takreban,taqreban,tqreeban,takriban,Approximately
hammad,hamad,,,,hamad,Praise
saya,,,,,saya,Shadow
parhlen,prhly,,,,prhly,First
naike,Naki,Neki,neke,,naike,Shoes
qaabu,kaabu,qabo,qaboo,,kaabu,Control
daftaron,daftaro,dftaron,dafteron,deftaron,daftaron,Offices
Dhakey,dhakkay,dhakkey,dhaky,dhakay,dhakay,Pushes
rangin,rangeen,,,,rangin,Colorful
Plya,pilaya,,,,pilaya,Made to drink
tareekh,tarek,Tarekh,tarikh,,tareekh,Date/History
badastor,badastur,badastoor,,,badastor,Intolerable
naimtaen,naimtain,nematian,,,naimtain,Blessings
rakhwa,rakhiwa,rukhwa,,,rakhwa,Maintains
wafa,waffa,,,,wafa,Loyalty
chalo,chaloo,challo,chlo,,chalo,Let's go
kamaal,kamal,kammal,kmaal,Kmal,kamal,Perfection
hazarey,hazaarain,hazarian,,,hazarian,Thousands
aazab,azab,azaab,Azb,,azab,Punishment
maheenon,mahenon,maheno,mahenoun,,mahenon,Months
Khulfa,khulifa,,,,khulifa,Successors
ount,ont,,,,ount,Camel
rewayat,riwayt,rewayet,,,rewayat,Traditions
ghur,ghoor,gour,,,gour,Wonder
hojaengy,hojaygy,,,,hojaygy,Will happen
toofan,tufaan,,,,toofan,Storm
kamane,kamani,kamaani,kamaane,kamni,kamani,Earnings
choomen,chumen,chumain,chuman,,chumain,Kisses
khairbad,khairbud,khairbaad,kherbad,,khairbad,Beneficial
kapda,kapra,kapraa,kaprha,,kapra,Cloth
Nikalnay,niklny,nikalney,nikalny,nikalinay,Nikalnay,To come out
weerany,werany,weraany,,,weerany,Valleys
palta,pulta,,,,palta,Turned
parhna,,,,,parhna,To read
kachray,kachry,kachae,,,kachray,Garbage
Hatanay,hataaney,hataney,,,Hatanay,Removing
pindi,,,,,pindi,A place name
achay,a6y,axhy,achhe,achhey,achay,Good
pehna,pehnna,pehnnaa,,,pehna,Wore
jhapi,jhappi,,,,jhapi,Hug
chattanoon,chatano,chatanon,,,chatano,Rocks
gaay,gaaye,,,,gaay,Cow
khusry,khusray,,,,khusray,Eunuchs
samil,shamil,,,,shamil,Included
kardo,kardu,kardoo,krdo,,kardo,Make
hijri,hijree,,,,hijri,Islamic calendar
